,Query,Label,cluster,stratify_col
57,2isp3n?3io43,0,0,0_0
588,"select count  (  k(d!* "")   from generate_series  (
 4x3,0o0o23040506 ^) [:and 'fahy' like 'fahy",1,1,1_1
1230,"com"" style  =  ""max-width:450px;float:left;padding:10px 10px 10px 0px;border:0px;""> as type buying selling turn 2145 215 22 220 540 543 544473 buy omnicef diners club store 544473""> buy omnicef diners club store </a>  544473""]buy omnicef diners club store[/url] 9aratgxun99s5bw1e@v$k@jrljltnn1afzqew2ch@v$k@1d2rrer7vmuzdd4npcz@v$k@/ckclyeqatppzvnr  </methodcall>   </methodcall> 482  </params>   <?xml version  =  ""1",0,0,0_0
1739,2b1,1,3,1_3
2136,select * from orders where orderdate between #07/01/1996# and #07/31/1996#,0,5,0_5
2697,5ecom058a?8a,0,0,0_0
3435,"select * from users where name  = """" or """" = """" and pass  = """" or """" = """"",0,2,0_2
3675,select *,0,5,0_5
3707,"select customername, /*city,*/ country from customers;",0,0,0_0
4073,"! or  myappadmin.adduser `()'admin', 'newpass'*Ã¢Â )(/ or`'",1,0,1_0
4590,"com/?option  =  com_k2  <act>  <![cdata[procmemberinsert]]>  </act>   <act>  <![cdata[procmemberlogin]]>  </act>   <allow_comment>  <![cdata[]]>  </allow_comment>   <allow_trackback>  <![cdata[]]>  </allow_trackback>   <birthday>  <![cdata[19850616]]>  </birthday>   <content>  <![cdata[ <img src  =  ""http://media2",0,0,0_0
5201,select * from orderswhere orderdate between #07/01/1996# and #07/31/1996#,0,0,0_0
6025,"  select   if ( 500<1000, ""yes"", ""no"" ) ;",0,2,0_2
6651,"selecttable_name,null,nullfrominformation_schema.tables",1,1,1_1
6670,"  select ""hello""  =  ""hello"";",0,2,0_2
6695,"  select find_in_set ( ""q"", null ) ;",0,2,0_2
